Zimmerzahl, Stockwerk, Heizung, Hausmeister, Kindergarten, Schule, S-Bahn, Garage, Miete, Nebenkosten, Alter, Aufzug, Lage, Entfernung, Kaution, Küche, Bad, Balkon, Terrasse, Kehrwoche, Möbliert, Quadratmeter, Teacher
Ein Zimmer, 10.Stock, Pellets, ja, fern, nah, erreichbar, ja, 150-200, unter 50, 31-50 Jahre, ja, Nebenstrasse, Zentrum, über 3000, Küche (alt), Badewanne, ja, ja, nein, teilmöbliert, 71-80, ja, 
Ein Zimmer, 8.Stock, Erdwärme, nein, fern, fern, nah, nein, 150-200, unter 50, 4-7 Jahre, nein, Abgelegen, < 3 km, keine, keine, Waschbecken, nein, nein, nein, ja, 51-60, ja, 
3 Zimmer, 2.Stock, Öl, nein, erreichbar, erreichbar, nah, nein, 951-1000, 50-100, 1-3 Jahre, nein, Spielstrasse, 11-20 km, über 3000, Küche (alt), Dusche, ja, ja, ja, nein, 31-40, nein, 
3-4 Zimmer, EG, Lüftungsheizung, nein, erreichbar, fern, nein, nein, 801-850, unter 50, Neubau, nein, Abgelegen, 3-5 km, über 3000, Küche (alt), Dusche, nein, ja, nein, ja, 41-50, nein, 
6 Zimmer, 10.Stock, Gas-Etage, nein, fern, nah, nah, ja, 150-200, 151-200, 76-100 Jahre, nein, Wohngebiet, 21-30 km, 2000-2500, keine, Waschbecken, nein, nein, nein, ja, 41-50, nein, 
2-3 Zimmer, 10.Stock, Gas-Etage, nein, nah, fern, nein, nein, 201-250, unter 50, über 100, nein, Hauptstrasse, 3-5 km, 2000-2500, keine, Dusche auf Flur, ja, ja, nein, nein, 71-80, nein, 
4-5 Zimmer, 5.Stock, Gas-Etage, nein, nah, nah, erreichbar, ja, 551-600, über 300, 7-10 Jahre, ja, Hauptstrasse, 21-30 km, keine, Küche (neu), Dusche, nein, ja, ja, teilmöbliert, 101-110, nein, 
2-3 Zimmer, 4.Stock, Pellets, ja, nah, erreichbar, nein, ja, 801-850, 101-150, 76-100 Jahre, ja, Wohngebiet, 3-5 km, 2000-2500, Küche (alt), Waschbecken, nein, ja, ja, teilmöbliert, 71-80, nein, 
5 Zimmer, 10.Stock, Öl, ja, nah, nah, nein, ja, über 1000, 151-200, 31-50 Jahre, ja, Nebenstrasse, < 3 km, 1000-1500, Küche (neu), Waschbecken, nein, ja, ja, nein, 51-60, nein, 
Ein Zimmer, 1.Stock, Gas-Etage, nein, erreichbar, nah, erreichbar, ja, 201-250, unter 50, über 100, nein, Hauptstrasse, 5-10 km, über 3000, keine, Dusche, ja, nein, nein, teilmöbliert, 91-100, ja, 
Zwei Zimmer, 7.Stock, Gas-Zentral, nein, fern, fern, mit Bus, nein, 651-700, über 300, 1-3 Jahre, nein, Spielstrasse, > 30 km, über 3000, Küche (neu), Badewanne, ja, ja, ja, teilmöbliert, 41-50, nein, 
4 Zimmer, 5.Stock, Erdwärme, ja, fern, fern, erreichbar, ja, 751-800, unter 50, 51-75 Jahre, nein, Spielstrasse, > 30 km, bis 1000, keine, Dusche + Wanne, ja, ja, nein, teilmöbliert, 31-40, nein, 
6 Zimmer, 7.Stock, Gas-Zentral, ja, nah, erreichbar, erreichbar, ja, 651-700, 151-200, 51-75 Jahre, nein, Hauptstrasse, < 3 km, 1500-2000, Küche (neu), Badewanne, nein, nein, ja, nein, 61-70, nein, 
Ein Zimmer, 1.Stock, Lüftungsheizung, ja, fern, erreichbar, nein, ja, über 1000, 50-100, 51-75 Jahre, ja, Wohngebiet, 21-30 km, 1000-1500, keine, Waschbecken, nein, nein, nein, ja, 81-90, nein, 
4 Zimmer, EG, Pellets, ja, erreichbar, erreichbar, mit Bus, nein, 651-700, 50-100, 7-10 Jahre, ja, Wohngebiet, 5-10 km, 1500-2000, Küche (neu), Dusche + Wanne, nein, ja, nein, nein, 31-40, nein, 
Ein Zimmer, 6.Stock, Lüftungsheizung, ja, nah, erreichbar, nah, nein, 201-250, unter 50, 51-75 Jahre, ja, Wohngebiet, Zentrum, 1000-1500, Küche (neu), Waschbecken, ja, nein, nein, nein, bis 20, ja, 
3 Zimmer, 10.Stock, Gas-Zentral, ja, nah, erreichbar, mit Bus, ja, 301-350, unter 50, 7-10 Jahre, nein, Wohngebiet, 3-5 km, 1000-1500, keine, Badewanne, ja, nein, ja, nein, über 120, nein, 
4 Zimmer, 7.Stock, Lüftungsheizung, ja, nah, nah, nein, nein, 451-500, 151-200, 21-30 Jahre, ja, Abgelegen, < 3 km, 2000-2500, keine, Dusche + Wanne, ja, nein, nein, ja, 81-90, nein, 
3-4 Zimmer, 6.Stock, Pellets, ja, nah, fern, mit Bus, nein, 851-900, 251-300, 76-100 Jahre, ja, Hauptstrasse, 21-30 km, bis 1000, Küche (neu), Dusche auf Flur, nein, ja, nein, nein, 20-30, nein, 
5-6 Zimmer, 7.Stock, Pellets, ja, erreichbar, fern, nah, ja, 651-700, unter 50, 51-75 Jahre, ja, Abgelegen, < 3 km, keine, Küche (alt), Waschbecken, ja, nein, nein, nein, 51-60, nein, 
6 Zimmer, 3.Stock, Gas-Zentral, nein, erreichbar, nah, mit Bus, ja, 751-800, 50-100, 21-30 Jahre, ja, Spielstrasse, 21-30 km, 1500-2000, Küche (neu), Dusche + Wanne, nein, ja, nein, ja, 81-90, nein, 
4-5 Zimmer, 10.Stock, Lüftungsheizung, ja, fern, nah, nein, ja, 201-250, 151-200, 7-10 Jahre, ja, Hauptstrasse, 3-5 km, 1000-1500, Küche (alt), Badewanne, nein, nein, ja, ja, über 120, nein, 
4-5 Zimmer, 8.Stock, Pellets, ja, erreichbar, erreichbar, erreichbar, ja, 251-300, 201-250, Neubau, ja, Abgelegen, 11-20 km, keine, Küche (neu), Dusche auf Flur, nein, nein, nein, teilmöbliert, 51-60, nein, 
6 Zimmer, 3.Stock, Öl, ja, erreichbar, fern, erreichbar, nein, 301-350, 50-100, 4-7 Jahre, ja, Abgelegen, 5-10 km, 2500-3000, Küche (alt), Waschbecken, nein, ja, ja, ja, über 120, nein, 
2-3 Zimmer, 6.Stock, Pellets, ja, nah, fern, nah, ja, 351-400, über 300, 1-3 Jahre, nein, Abgelegen, > 30 km, keine, Küche (alt), Dusche + Wanne, ja, nein, ja, teilmöbliert, bis 20, nein, 
Ein Zimmer, 6.Stock, Lüftungsheizung, nein, erreichbar, nah, erreichbar, ja, 201-250, unter 50, 51-75 Jahre, nein, Wohngebiet, Zentrum, bis 1000, Küche (alt), Dusche auf Flur, nein, ja, ja, nein, über 120, ja, 
5-6 Zimmer, 2.Stock, Öl, nein, fern, erreichbar, mit Bus, nein, 651-700, 50-100, Neubau, ja, Nebenstrasse, < 3 km, über 3000, Küche (alt), Dusche, ja, nein, ja, ja, 31-40, nein, 
6 Zimmer, 5.Stock, Erdwärme, nein, fern, nah, nein, ja, 651-700, 101-150, 1-3 Jahre, ja, Nebenstrasse, 11-20 km, 2500-3000, Küche (alt), Dusche + Wanne, ja, ja, ja, ja, 91-100, nein, 
5-6 Zimmer, 1.Stock, Lüftungsheizung, ja, erreichbar, nah, erreichbar, nein, 851-900, 50-100, 31-50 Jahre, nein, Spielstrasse, 21-30 km, 2500-3000, Küche (alt), Badewanne, nein, ja, nein, ja, 81-90, nein, 
6 Zimmer, 1.Stock, Öl, ja, nah, nah, nah, ja, 451-500, 101-150, 76-100 Jahre, ja, Wohngebiet, 5-10 km, keine, Küche (neu), Badewanne, ja, nein, ja, teilmöbliert, 71-80, nein, 
3 Zimmer, 7.Stock, Pellets, ja, fern, fern, nein, ja, 701-750, 151-200, 16-20 Jahre, ja, Wohngebiet, 11-20 km, über 3000, Küche (neu), Waschbecken, nein, nein, ja, ja, 20-30, nein, 
4-5 Zimmer, 9.Stock, Gas-Etage, nein, erreichbar, erreichbar, mit Bus, nein, 401-450, 101-150, 76-100 Jahre, nein, Wohngebiet, Zentrum, über 3000, Küche (alt), Badewanne, ja, nein, ja, teilmöbliert, über 120, nein, 
3-4 Zimmer, 7.Stock, Gas-Etage, nein, fern, nah, mit Bus, nein, 651-700, über 300, 21-30 Jahre, nein, Wohngebiet, Zentrum, 2000-2500, keine, Dusche auf Flur, ja, nein, ja, nein, 91-100, nein, 
Ein Zimmer, EG, Gas-Zentral, nein, fern, erreichbar, nah, ja, 201-250, unter 50, Neubau, ja, Wohngebiet, < 3 km, 2500-3000, keine, Dusche auf Flur, nein, ja, nein, ja, 81-90, ja, 
Ein Zimmer, 6.Stock, Öl, ja, erreichbar, fern, nah, ja, 150-200, unter 50, 4-7 Jahre, nein, Hauptstrasse, 21-30 km, bis 1000, keine, Dusche, nein, nein, ja, nein, 71-80, ja, 
